"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI","predictWQI"
"1","BORE WELL - NEAR M/S ANDHRA SUGARS LTD. ,
KOVVUR , W.G.DIST","ANDHRAPRADESH","GROUNDWATER",26,5.9,324,1,1.2,9,14,2016,40,60,0,100,100,80,6.8,10.2,13,0,22,17.6,69.6,77.2655706555307
"2","BORE WELL AT KAPULUPPADA DUMPSITE,
VISHAKHAPATNAM","ANDHRAPRADESH","GROUNDWATER",25,7.3,2536,1.3,8,3,380,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,75.1233926874246
"3","BORE WELL AT ARINAMA AKKIVALASA,
SRIKAKULAM","ANDHRAPRADESH","GROUNDWATER",27,7.6,653,1.2,4.1,14,64,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.7133668067591
"4","VILLAGE MASAT, DADRA","DADRA & NAGAR HAVELI","GROUNDWATER",28,6.7,1483,12,0.3,0,28,2016,40,100,0,60,100,80,6.8,17,7.8,0,22,17.6,71.2,72.6560071943154
"5","VILLAGE, DADRA","DADRA & NAGAR HAVELI","GROUNDWATER",28,7.2,1880,20,0.6,6,10,2016,40,100,0,60,100,80,6.8,17,7.8,0,22,17.6,71.2,70.4699485561148
"6","VILLAGE BHIMPORE, DAMAN","DIU & DAMAN","GROUNDWATER",28,6.4,610,4.9,1.8,542,1600,2016,40,80,0,80,100,40,6.8,13.6,10.4,0,22,8.8,61.6,73.8867594041709
"7","VILLAGE RINGANWADA, DAMAN","DIU & DAMAN","GROUNDWATER",29,6.8,1460,4.9,0.4,8,13,2016,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8,73.0055998253979
"8","BORE WELL AT CUNCOLIM
INDUSTRIAL ESTATE","GOA","GROUNDWATER",29,6.7,351,0.5,0,7.8,23,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.0277110954591
"9","GABHENI VILLAGE, SURAT (INDUSTRIAL)","GUJARAT","GROUNDWATER",27,7.7,960,1,0,8,13,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,73.878049801241
"10","B/W- HAZARDOUS W. DISPOSAL SITE (GUJ. ENVIRO P.& I","GUJARAT","GROUNDWATER",27,7.7,2445,0.9,0,7,7,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,73.7890902439668
"11","WELL AT OLPAD.","GUJARAT","GROUNDWATER",28,6.8,2835,0.9,0,17,130,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,74.3365367335432
"12","BOREWELL AT PRIMARY HEALTH CENTER, KADODARA, SURAT","GUJARAT","GROUNDWATER",27,7.9,1582,0.9,0,33,4,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.5538034529399
"13","BOREWELL NEAR TSDF SITE OF SAURASHTRA ENVIRO PROJE","GUJARAT","GROUNDWATER",27,8,1072,2.2,0,12,38,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,73.2060583942255
"14","KALA AMB INDUSTRIAL AREA","HIMACHALPRADESH","GROUNDWATER",22,7.5,710,0.1,0.5,2,4,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2,78.0019632754105
"15","PAONTA SAHIB INDUSTRIAL
AREA","HIMACHALPRADESH","GROUNDWATER",23,7.7,460,0.1,0.6,2,4,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2,76.9777154372767
"16","WELL AT ELOOR","KERALA","GROUNDWATER",26.8,6,139,0.7,0.9,11,14,2016,40,80,80,100,100,80,6.8,13.6,13,6.88,22,17.6,79.88,76.613702602803
"17","PAPPANAMKODE,THIRUVANANTHAPURAM","KERALA","GROUNDWATER",32,6.6,210,1.1,0,55,110,2016,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16,71.8502596477696
"18","KUNDARA,KOLLAM DISTT.","KERALA","GROUNDWATER",24,6,110,0.6,0.8,10,40,2016,60,80,80,100,100,80,10.2,13.6,13,6.88,22,17.6,83.28,78.6958669446033
"19","CHERTHALA,ALLEPPY","KERALA","GROUNDWATER",28.5,7.7,180,0.4,0.1,0,150,2016,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16,72.8914394659606
"20","VYTTILA,ERNAKULAM DISTT.","KERALA","GROUNDWATER",28.2,6.9,334,0.7,1.1,4,6,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,74.2116988126385
"21","KALAMASSERY ERNAKULAM DISTT.","KERALA","GROUNDWATER",27,6.3,229,0.8,6.8,0,26,2016,40,80,40,100,100,80,6.8,13.6,13,3.44,22,17.6,76.44,75.5763559162847
"22","PUNKUNNAM TRISSUR DISTT.","KERALA","GROUNDWATER",28,8.3,350,1,2.4,0,0,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,72.1240979498968
"23","MALAPURAM","KERALA","GROUNDWATER",30,6.1,224,1.4,0,20,32,2016,40,80,60,100,100,80,6.8,13.6,13,5.16,22,17.6,78.16,74.0376351577362
"24","KANNUR (MUNICIPALITY) KANNUR DISTTM","KERALA","GROUNDWATER",28,4.7,104,0.5,4.5,180,480,2016,40,60,80,100,100,60,6.8,10.2,13,6.88,22,13.2,72.08,77.33415856521
"25","KAROOR (PALA)","KERALA","GROUNDWATER",27,6.1,83,0.8,3.5,200,300,2016,40,80,80,100,100,60,6.8,13.6,13,6.88,22,13.2,75.48,76.0458327529632
"26","SARVODAPURAM, ALAPPUZHA","KERALA","GROUNDWATER",28,7.6,262,0.9,0.1,0,110,2016,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44,73.3265584929843
"27","WELL AT PAYANOOR, KANNUR","KERALA","GROUNDWATER",27,6.7,175,1,0.5,208,480,2016,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16,75.2714926057354
"28","WELL AT KARIMBAM, KANNUR","KERALA","GROUNDWATER",26,4.6,67,1.2,0.9,36,100,2016,40,60,100,100,100,60,6.8,10.2,13,8.6,22,13.2,73.8,79.1902089180243
"29","DAHANU","MAHARASHTRA","GROUNDWATER",24,7.6,282,2.6,0.4,4,11,2016,60,100,40,100,100,80,10.2,17,13,3.44,22,17.6,83.24,75.9801377922306
"30","KORADI, NAGPUR","MAHARASHTRA","GROUNDWATER",27,6.8,755,4,3.2,79,170,2016,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,74.4488139215645
"31","BORE WELL AT KATPUR,
NEAR Z.P SCHOOL.","MAHARASHTRA","GROUNDWATER",22,7.8,1025,3,0.1,2,130,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4,77.0206431038462
"32","DUG WELL OWNED BY SHRI DESHMUKH, MALEGAON,
BARAMATI, PUNE","MAHARASHTRA","GROUNDWATER",26,8,1309,3.2,0.2,4,17,2016,40,100,0,80,100,80,6.8,17,10.4,0,22,17.6,73.8,73.742637666506
"33","DUG WELL OWNED BY SHRI SHIVAJI BABAN DAREKAR,
SANASWADI, SHIRUR, PUNE","MAHARASHTRA","GROUNDWATER",25,8.1,390,3.2,0.3,5,17,2016,60,100,0,80,100,80,10.2,17,10.4,0,22,17.6,77.2,74.3895933486007
"34","BORE WELL AT BALE RAILWAY STATION
PREMISES OWNED BY SHRI","MAHARASHTRA","GROUNDWATER",28,7,813.1,2.8,0.2,4,11,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4,73.8708527534358
"35","BORE WELL AT WAHEGAON NEAR ZILLA PARISHET SCHOOL, PAITHAN,
AURANGABAD","MAHARASHTRA","GROUNDWATER",22,8,1850,4,0,2,130,2016,60,100,0,80,100,60,10.2,17,10.4,0,22,13.2,72.8,76.4946582016176
"36","MAWLAI, SHILLONG","MEGHALAYA","GROUNDWATER",19,5.4,200,1.8,16,20,34,2016,80,60,60,100,100,80,13.6,10.2,13,5.16,22,17.6,81.56,81.9927974700443
"37","SOHRA CHERRAPUNJEE","MEGHALAYA","GROUNDWATER",17,6.5,98,1,5.6,10,25,2016,80,100,80,100,100,80,13.6,17,13,6.88,22,17.6,90.08,82.7026414078758
"38","MAWTHADRISHAN WELL AT
MARKASA, WEST KHASI HILLS","MEGHALAYA","GROUNDWATER",16,6.8,45,1.5,0.4,11,24,2016,80,100,100,100,100,80,13.6,17,13,8.6,22,17.6,91.8,83.2735029326464
"39","RAMHLUM (NORTHERN
PART)","MIZORAM","GROUNDWATER",13,5.8,131,1,0,0,44,2016,100,60,80,100,100,80,17,10.2,13,6.88,22,17.6,86.68,87.081036076965
"40","JAGATPUR INDUSTRIAL AREA, CUTTACK","ORISSA","GROUNDWATER",24,6.8,636,0.3,5.4,4.5,4.5,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2,77.2006376896539
"41","CHUNMBAR RIVER","PUDUCHERRY","GROUNDWATER",25,7.2,400,3,0,130,11,2016,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8,75.7910279252054
"42","WELL OF LOOMJI, CHAUDHARY, NEAR NAYAGAON, PALI, (U/S 1 KM.
FROM PALI TOWN)","RAJASTHAN","GROUNDWATER",24,8.1,3700,9.2,3.7,3,3,2016,60,100,0,60,100,100,10.2,17,7.8,0,22,22,79,73.6048868490624
"43","WELL KOTHI IN VILLAGE
BAGAR RAJPUT, ALWAR","RAJASTHAN","GROUNDWATER",28,7.4,1290,1.8,1.3,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.3375664863467
"44","WELL AT VILLAGE ALUPUR, VERY NEAR BHIWADI
INDUSTRIAL AREA, BHIWADI","RAJASTHAN","GROUNDWATER",27,7.5,1400,1.4,2.4,3,3,2016,40,100,0,100,100,100,6.8,17,13,0,22,22,80.8,73.9091183647336
