"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI","predictWQI"
"1","HOSPITAL - BUSSTAND- MAUSHIMA TEMPLE AREA, PURI, ORISSA","ORISSA","GROUNDWATER",26.5,8,808,0.5,6,13,220,2014,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72,73.4202403643348
"2","SUKETI KHAD  AT D/S MANDI","HIMACHALPRADESH","RIVERWATER",18.9,8.4,244,0.7,1.37,679,1071,2013,80,100,40,100,100,40,13.6,17,13,3.44,22,8.8,77.84,78.5289146955129
"3","GANGA AT BHAGALPUR","BIHAR","RIVERWATER",21,8.29,374,2.2,0.32,0.82,50000,2006,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2,64.1102368913767
"4","MULA RIVER AT AUNDH BRIDGE, AUNDGAON.","MAHARASHTRA","RIVERWATER",26.6,8.5,465,9.4,1.67,274,1733,2013,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,70.9812073031948
"5","GODAVARI AT JAYAKWADI DAM, AURNAGABAD,MAHARASHTRA","MAHARASHTRA","RIVERWATER",28.6,8.3,813,3.3,0.2,3,109,2014,40,100,0,80,100,60,6.8,17,10.4,0,22,13.2,69.4,71.3738024162929
"6","Dug well owned by Shri Shivaji Baban Darekar Village- Sanaswadi, Taluka- Shirur, District- Pune.","MAHARASHTRA","GROUNDWATER",23,8.8,840,3.7,5,23,325,2013,60,80,0,80,100,60,10.2,13.6,10.4,0,22,13.2,69.4,74.2859124312188
"7","BHIMA AT PARGAON (AFTER CONFL.WITH MULE MARTHA) ","MAHARASHTRA","RIVERWATER",26.7,7.8,644,8.5,0.41,254,1610,2011,40,100,0,60,100,40,6.8,17,7.8,0,22,8.8,62.4,72.2180208489416
"8","BARAK RIVER AT D/S OF SILCHAR","ASSAM","RIVERWATER",10,6.9,100,1.9,0.1,550,1515,2009,100,100,80,100,100,40,17,17,13,6.88,22,8.8,84.68,87.0997356461372
"9","IB AT  RAJ NAGAR U/S, ORISSA","ORISSA","RIVERWATER",29.8,8.1,158,1,1,1008,2534,2013,40,100,60,100,100,40,6.8,17,13,5.16,22,8.8,72.76,70.5444906196682
"10","PAWANA AT DAPODI BRIDGE AT PAWANA-MULLA SANGAM, DAPODI, HAWELI, PUNE","MAHARASHTRA","RIVERWATER",25,7.7,605,13.4,0.71,308,1783,2011,60,100,0,60,100,40,10.2,17,7.8,0,22,8.8,65.8,72.7022632028657
