"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI"
"1","BORE WELL. - NEAR RAMA TEMPLE , WARD NO.2
, MINDI , VISAKHAPATNAM","ANDHRAPRADESH","GROUNDWATER",26,7.3,2535,2.2,5.2,11,460,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"2","OPEN WELL. PEDDANUYYI - VIZIANAGARAM","ANDHRAPRADESH","GROUNDWATER",24,7.2,478,1.2,0.7,7,150,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"3","BORE WELL - NEAR M/S ANDHRA SUGARS LTD. ,
KOVVUR , W.G.DIST","ANDHRAPRADESH","GROUNDWATER",26,5.9,324,1,1.2,9,14,2016,40,60,0,100,100,80,6.8,10.2,13,0,22,17.6,69.6
"4","OPEN WELL. -NEAR PARTAP NAGAR BRIIDGE -
KAKINADA , E.G.DIST","ANDHRAPRADESH","GROUNDWATER",28,7.3,1105,1.2,0.8,7,20,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"5","HAND PUMP AT TANAM VILL.,
VISHAKHAPATNAM","ANDHRAPRADESH","GROUNDWATER",28,7.6,1537,1,7.9,7,150,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"6","HAND PUMP AT PITTAVANIPALEM,
VISHAKHAPATNAM","ANDHRAPRADESH","GROUNDWATER",26,7.2,1689,1.4,9.9,7,15,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"7","BORE WELL AT KAPULUPPADA DUMPSITE,
VISHAKHAPATNAM","ANDHRAPRADESH","GROUNDWATER",25,7.3,2536,1.3,8,3,380,2016,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"8","BORE WELL AT ARINAMA AKKIVALASA,
SRIKAKULAM","ANDHRAPRADESH","GROUNDWATER",27,7.6,653,1.2,4.1,14,64,2016,40,100,0,100,100,60,6.8,17,13,0,22,13.2,72
"9","B/W AT ALLADAPALEM VILLAGE,
PYDIBHIMAVARAM, DISTT SRIKAKULAM","ANDHRAPRADESH","GROUNDWATER",26,7.4,1375,1,3.3,4,20,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"10","VILLAGE MASAT, DADRA","DADRA & NAGAR HAVELI","GROUNDWATER",28,6.7,1483,12,0.3,0,28,2016,40,100,0,60,100,80,6.8,17,7.8,0,22,17.6,71.2
